bigram,count
clean energy,26
solar storage,15
solar battery,13
new energy,11
electric vehicle,11
capture storage,10
carbon intensity,8
wind resource,8
affordable energy,6
renewable battery,6
fpl continue,6
carbon energy,5
affordable reliable,5
carbon free,5
performance fpl,5
gas emission,4
greenhouse gas,4
renewable energy,4
reliable energy,4
energy vehicle,4
cost renewable,4
form energy,4
gigawatt renewable,4
emission intensity,4
future energy,3
ghg emission,3
include renewable,3
integrate resource,3
nation energy,3
utility solar,3
deliver affordable,3
exist clean,3
result fpl,3
visibility energy,3
wind approximately,3
nearly gigawatt,2
provide energy,2
class natural,2
exist coal,2
reliable natural,2
turbine manufacturer,2
renewable natural,2
generation resource,2
energy meet,2
engine vehicle,2
vehicle electric,2
believe renewable,2
clean affordable,2
effective solar,2
gigawatt wind,2
reliable clean,2
supply energy,2
unfavorable wind,2
wind facility,2
wind storage,2
additional wind,2
build transmission,2
energy build,2
gigawatt add,2
investment fpl,2
nuclear portfolio,2
transmission require,2
trend renewable,2
automation smart,2
grid technology,2
meet nation,2
solar site,2
think renewable,2
achieve energy,2
make carbon,2
market carbon,2
ton carbon,2
value carbon,2
hydrogen carbon,2
carbon emission,2
capture carbon,2
policy renewable,1
premier energy,1
regard renewable,1
renewable portion,1
traditional energy,1
efficient unit,1
fuel create,1
transition renewable,1
grid power,1
energy expand,1
energy opportunity,1
grid country,1
grid meter,1
lower carbon,1
plant decade,1
power initiative,1
power player,1
protect environment,1
series energy,1
epa recently,1
grid new,1
investment comply,1
need carbon,1
particularly solar,1
pass natural,1
resiliency security,1
support load,1
bring clean,1
energy economic,1
energy state,1
expansion nuclear,1
focus grid,1
grid generation,1
invest clean,1
meet sustainability,1
megawatt clean,1
power florida,1
state meet,1
sustainability goal,1
wind bring,1
asset grid,1
asset renewable,1
coastal area,1
energy carbon,1
extreme weather,1
file irp,1
file resource,1
grid solar,1
modernize grid,1
plan irp,1
renewable addition,1
role utility,1
wind heavy,1
administration commitment,1
construction gigawatt,1
energy enter,1
engage state,1
legislation make,1
legislation way,1
point electric,1
strengthen grid,1
strong nuclear,1
affordable electric,1
battery electric,1
charge infrastructure,1
efficient program,1
electrification strategy,1
engine electric,1
solution pursue,1
vehicle design,1
vehicle gain,1
vehicle internal,1
vehicle opportunity,1
blow sun,1
concern wind,1
continue solar,1
customer clean,1
deliver clean,1
drive renewable,1
effective renewable,1
electricity need,1
energy capture,1
energy goal,1
energy invest,1
energy time,1
flat power,1
focus renewable,1
grow solar,1
interconnect transmission,1
invest solar,1
large battery,1
mw wind,1
operate transmission,1
overall renewable,1
reliable generation,1
reliable grid,1
return wind,1
solar continue,1
solar energy,1
solar good,1
solar supply,1
storage key,1
support california,1
talk renewable,1
water resource,1
addition gigawatt,1
addition renewable,1
american wind,1
bridge fuel,1
connect renewable,1
demand wind,1
electricity generate,1
energy independence,1
favorable wind,1
generation retire,1
hear power,1
importance natural,1
low solar,1
market clean,1
megawatt transmission,1
mix renewable,1
online megawatt,1
place wind,1
quarter renewable,1
renewable help,1
renewable origination,1
renewable particular,1
renewable play,1
role renewable,1
sector renewable,1
storage help,1
strength renewable,1
sun wind,1
technology wind,1
thousand megawatt,1
vineyard wind,1
wind demand,1
assist utility,1
clean electricity,1
country energy,1
create thousand,1
customer renewable,1
development renewable,1
enable renewable,1
energy battery,1
especially renewable,1
fact renewable,1
generation nearly,1
leadership power,1
meet renewable,1
mention renewable,1
nuclear play,1
reliable resilient,1
renewable say,1
restart nuclear,1
set solar,1
solar versus,1
solution nuclear,1
target gigawatt,1
wind repowering,1
administration energy,1
available wind,1
believe energy,1
contribute power,1
currently gigawatt,1
develop renewable,1
energy producer,1
exist electric,1
grid benefit,1
integrate renewable,1
know renewable,1
leader renewable,1
need renewable,1
nuclear continue,1
nuclear renewable,1
regard wind,1
renewable backlog,1
renewable currently,1
renewable meet,1
start renewable,1
state renewable,1
storage renewable,1
upgrade natural,1
wind lease,1
address emission,1
carbon dioxide,1
emission future,1
emission high,1
emission world,1
energy economy,1
expand waste,1
penetration electric,1
petrochemical process,1
storage hydrogen,1
cost environmentally,1
gas wind,1
include hydrogen,1
pay carbon,1
solar electric,1
truck include,1
anode material,1
application automobile,1
battery range,1
carbon project,1
cheap clean,1
clean reliable,1
damage transmission,1
environmental footprint,1
facility environmentally,1
power generator,1
power heat,1
transport store,1
business emission,1
carbon gas,1
coal lng,1
emission continue,1
emission low,1
future hydrogen,1
make renewable,1
reduce sulfur,1
talk carbon,1
case wind,1
deliver energy,1
improve environmental,1
lead wind,1
recognize fuel,1
value reliability,1
choose energy,1
cut carbon,1
hydrogen market,1
policy economic,1
produce renewable,1
progress carbon,1
storage power,1
add carbon,1
battery charge,1
carbon market,1
energy efficient,1
industry alternative,1
lead carbon,1
traditional power,1
work carbon,1
application lithium,1
capture sequestration,1
compete source,1
generation carbon,1
intensity reduction,1
invest green,1
make battery,1
