bigram,count
clean energy,597
electric vehicle,306
renewable energy,292
wind resource,208
greenhouse gas,141
carbon emission,114
gas emission,100
autonomous vehicle,96
new energy,92
carbon free,81
solar storage,78
carbon dioxide,77
affordable energy,76
renewable natural,72
solar energy,71
climate change,69
clean power,69
battery electric,68
carbon intensity,67
fpl continue,67
integrate resource,65
affordable reliable,64
solar battery,61
scale solar,54
generation resource,54
capture storage,52
battery cell,50
solar capacity,49
cost renewable,45
reliable energy,44
extreme weather,42
clean air,42
wind energy,39
nep portfolio,38
megawatt battery,35
wind facility,35
air quality,34
cycle gas,34
plant ratcliffe,34
emission intensity,33
solar program,33
greensville county,33
result fpl,33
sustainable energy,31
exist wind,31
fluorine product,31
effective solar,31
sustainability goal,30
energy sustainability,30
efficient airplane,29
believe energy,29
paris agreement,29
cycle natural,29
energy efficient,29
air water,29
solar expansion,29
future energy,28
form energy,28
provide energy,28
citrus county,28
solar itc,28
renewable battery,28
city hybrid,28
approve georgia,28
emission profile,27
star transmission,27
lower carbon,26
dioxide emission,26
megawatt additional,26
generate clean,25
free energy,25
energy vehicle,25
carbon neutral,24
deliver affordable,24
family vehicle,24
differential membership,24
renewable backlog,24
climate relate,23
new battery,23
renewable origination,23
department environmental,22
western carolinas,22
number vehicle,22
deliver clean,21
carbon energy,21
transition clean,21
solar resource,21
include renewable,21
investment fpl,21
produce electricity,20
deliver energy,20
achieve carbon,20
emission free,20
good renewable,20
epa regulation,19
think renewable,19
position duke,19
exist coal,19
additional renewable,19
grid improvement,19
solar site,19
power include,19
plan dominion,19
vehicle development,19
vehicle design,19
coal nuclear,18
address climate,18
clean affordable,18
capture sequestration,18
hydrogen carbon,18
clean reliable,18
gigawatt renewable,18
plus storage,18
performance fpl,18
solar continue,17
support renewable,17
environmental quality,17
ton carbon,17
vehicle china,17
solar plus,17
reduction emission,16
wind power,16
term renewable,16
energy independence,16
market renewable,16
energy legislation,16
community solar,16
pump storage,16
energy goal,16
energy fpl,16
particularly solar,15
charge infrastructure,15
environmental footprint,15
coal gasification,15
additional wind,15
mw wind,15
favorable wind,15
generation electric,15
plan irp,15
vehicle make,15
engine vehicle,15
century coal,15
carbon price,14
reliable low,14
new carbon,14
potential carbon,14
nearly gigawatt,14
customer clean,14
grid technology,14
nation energy,14
renewable tax,14
environment renewable,14
efficient vehicle,14
vehicle europe,14
fully electric,14
exist clean,14
expect solar,13
advance sustainability,13
emission target,13
supply energy,13
reliable clean,13
question renewable,13
energy expand,13
issue rfp,13
modernize grid,13
river nuclear,13
recovery rider,13
transport rule,13
mw solar,13
addition renewable,13
grid generate,13
investment clean,13
believe renewable,13
fossil asset,13
portfolio vehicle,13
electrification strategy,13
energy innovation,13
solar thermal,13
solar pv,13
customer electric,12
pass house,12
ghg emission,12
storage hydrogen,12
reduction carbon,12
expand renewable,12
protect environment,12
include nuclear,12
state energy,12
energy regulatory,12
development renewable,12
plan solar,12
add renewable,12
modernize energy,12
strengthen grid,12
advance clean,12
lead electric,12
build solar,12
solar supply,12
car utility,12
ice product,12
emission rate,12
robo president,12
wind repowering,12
manager primary,12
coal capacity,11
fast charge,11
