ticker,year,quarter
BA,2007,1
BA,2008,3
BA,2008,4
BA,2010,3
CAT,2007,4
COP,2007,3
COP,2026,2
COP,2026,3
COP,2026,4
CVX,2000,1
CVX,2000,2
CVX,2000,3
CVX,2000,4
CVX,2001,1
CVX,2001,2
CVX,2001,3
CVX,2001,4
CVX,2002,1
CVX,2002,2
CVX,2002,3
CVX,2002,4
CVX,2003,1
CVX,2003,2
CVX,2003,3
CVX,2003,4
CVX,2004,1
CVX,2004,2
CVX,2004,3
CVX,2004,4
CVX,2005,1
CVX,2005,2
CVX,2005,3
CVX,2005,4
CVX,2006,1
CVX,2006,2
CVX,2006,3
CVX,2006,4
CVX,2007,1
CVX,2007,2
CVX,2007,3
CVX,2007,4
CVX,2026,3
CVX,2026,4
D,2014,4
D,2018,1
DAL,2007,1
DAL,2007,2
DAL,2009,3
DAL,2010,1
DAL,2010,2
DAL,2010,3
DAL,2010,4
DAL,2011,1
DUK,2004,1
DUK,2004,2
DUK,2004,3
DUK,2004,4
DUK,2005,1
DUK,2005,2
DUK,2005,3
DUK,2005,4
DUK,2006,1
DUK,2006,2
DUK,2006,3
DUK,2006,4
DUK,2007,1
DUK,2007,2
DUK,2007,3
DUK,2007,4
DUK,2026,3
DUK,2026,4
F,2007,1
F,2007,2
F,2007,3
F,2007,4
F,2008,3
GM,2007,4
GM,2008,2
GM,2009,1
GM,2009,2
GM,2009,3
GM,2009,4
GM,2010,1
GM,2010,2
GM,2010,3
GM,2010,4
GM,2011,1
HON,2007,1
JPM,2007,1
JPM,2007,2
JPM,2007,4
JPM,2014,3
KO,2007,1
KO,2007,2
KO,2007,3
KO,2007,4
MMM,2007,1
MMM,2007,2
MMM,2009,2
NEE,2004,1
NEE,2004,2
NEE,2004,3
NEE,2004,4
NEE,2005,1
NEE,2005,2
NEE,2005,3
NEE,2005,4
NEE,2006,1
NEE,2006,2
NEE,2006,3
NEE,2006,4
NEE,2007,1
NEE,2007,2
NEE,2007,3
NEE,2007,4
NEE,2008,1
NEE,2008,2
NEE,2008,3
NEE,2008,4
NEE,2009,1
NEE,2009,2
NEE,2009,3
NEE,2009,4
NEE,2010,1
NEE,2010,3
NEE,2026,3
NEE,2026,4
OXY,2007,1
OXY,2026,2
OXY,2026,3
OXY,2026,4
PFE,2007,1
SO,2007,1
SO,2007,2
UNH,2007,1
UNH,2007,2
UNH,2007,3
UNH,2007,4
UNH,2008,1
UNH,2008,2
UNH,2008,3
UNH,2008,4
UNH,2009,1
UNH,2009,2
UNH,2009,3
UNH,2009,4
UNH,2010,1
UNH,2010,2
UNH,2010,3
UNH,2010,4
UNH,2011,1
UNH,2011,2
UNH,2011,3
UNH,2011,4
UNH,2012,1
UNH,2012,2
UNH,2012,3
UNH,2012,4
WMT,2009,4
WMT,2010,1
WMT,2019,2
WMT,2019,3
WMT,2020,1
WMT,2020,2
WMT,2020,3
XOM,2000,1
XOM,2000,2
XOM,2000,3
XOM,2000,4
XOM,2001,1
XOM,2001,2
XOM,2001,3
XOM,2001,4
XOM,2002,1
XOM,2002,2
XOM,2002,3
XOM,2002,4
XOM,2003,1
XOM,2003,2
XOM,2003,3
XOM,2003,4
XOM,2004,1
XOM,2004,2
XOM,2004,3
XOM,2004,4
XOM,2005,1
XOM,2005,2
XOM,2005,4
XOM,2010,2
XOM,2026,2
XOM,2026,3
XOM,2026,4
