ticker,industry,cc_expo,op_expo,rg_expo,ph_expo,op_share%,rg_share%,ph_share%
NEE,Utilities,0.016916669202245247,0.009091126156604637,0.0006486548748743714,4.999200127978572e-06,93.3,6.7,0.1
DUK,Utilities,0.01213375300012083,0.005311168119742987,0.0007638837628508823,2.6999359546124996e-05,87.0,12.5,0.4
GM,Autos,0.003916320199271583,0.001983310361279365,6.065915957716538e-05,4.580722799930192e-05,94.9,2.9,2.2
F,Autos,0.0038328295621634875,0.0020756565968960733,6.800986236635e-05,3.675665889841875e-05,95.2,3.1,1.7
CVX,Energy,0.002579087705363432,0.0006925951195472868,0.0002664823342811971,0.0,72.2,27.8,0.0
XOM,Energy,0.0023728698063765104,0.00040287449781776185,0.00045611860562923284,1.0922590219238158e-05,46.3,52.4,1.3
CAT,Machinery,0.0015941393293741808,0.0005505310650169191,0.000131841148040275,3.70425248184853e-06,80.2,19.2,0.5
KO,Consumer,0.0006566182503663999,7.535122541161666e-05,4.889019262735833e-05,0.0,60.6,39.4,0.0
COP,Energy,0.0006199385138311,7.475121199160499e-05,3.7626951100905e-05,0.0,66.5,33.5,0.0
BA,Aerospace,0.0005710420989879683,5.2586145452315e-05,8.664758252753e-05,0.0,37.8,62.2,0.0
WMT,Retail,0.0005289977880603875,0.0001803510705762,9.14709503103875e-05,0.0,66.3,33.7,0.0
JPM,Finance,0.0002299950367335828,4.204694717935781e-05,4.02706185566875e-06,0.0,91.3,8.7,0.0
MSFT,Technology,0.0002074481363552986,5.7966931783666664e-05,1.0026757873808332e-05,0.0,85.3,14.7,0.0
UNH,Healthcare,0.000173584261171575,5.013424123585833e-05,2.3270967141391667e-05,0.0,68.3,31.7,0.0
PFE,Pharma,0.00016956655971324167,0.0,0.0,0.0,,,
