ticker,industry,cc_expo,op_expo,rg_expo,ph_expo,op_share%,rg_share%,ph_share%
NEE,Utilities,0.016916669202245247,0.009091126156604637,0.0006486548748743714,4.999200127978572e-06,93.3,6.7,0.1
DUK,Utilities,0.01213375300012083,0.005311168119742987,0.0007638837628508823,2.6999359546124996e-05,87.0,12.5,0.4
GM,Autos,0.005727951255602083,0.002902720732445708,2.183787561145833e-05,0.00017218496831484164,93.7,0.7,5.6
F,Autos,0.00567369670250895,0.003205679226531225,0.000173480518074375,2.794545048065833e-05,94.1,5.1,0.8
CAT,Machinery,0.0033945883087484418,0.0013645490256084334,0.00014331997077150833,2.0990764063808334e-05,89.3,9.4,1.4
CVX,Energy,0.002579087705363432,0.0006925951195472868,0.0002664823342811971,0.0,72.2,27.8,0.0
XOM,Energy,0.0023728698063765104,0.00040287449781776185,0.00045611860562923284,1.0922590219238158e-05,46.3,52.4,1.3
KO,Consumer,0.0006566182503663999,7.535122541161666e-05,4.889019262735833e-05,0.0,60.6,39.4,0.0
WMT,Retail,0.00060458725942685,0.0002404680941016,0.00012196126708051667,0.0,66.3,33.7,0.0
MSFT,Technology,0.0005068227455499167,0.00018189213066688333,6.0160547242849994e-05,0.0,75.1,24.9,0.0
BA,Aerospace,0.00039646273659617494,3.3521051220158336e-05,3.1830914183850004e-05,0.0,51.3,48.7,0.0
JPM,Finance,0.00027285851109945834,0.000100390060369,0.0,0.0,100.0,0.0,0.0
UNH,Healthcare,0.000173584261171575,5.013424123585833e-05,2.3270967141391667e-05,0.0,68.3,31.7,0.0
PFE,Pharma,0.00016956655971324167,0.0,0.0,0.0,,,
